TITLE,YEAR,BIBREF,AUTHORS,JOURNAL,DETECTED_METHODS,CONFIDENCE,HAS_METHODS,UNCERTAINTY_STATEMENTS,DECISION_ANALYSIS,POLICY_INTERVENTION,UNCERTAINTY_ANALYSIS,STAKEHOLDER_EXPERT,MODELING_SIMULATION,BAYESIAN_PROBABILISTIC,COMPUTER_ASSISTED,VALUE_INFORMATION,MULTI_CRITERIA,OPTIMIZATION,ECONOMIC_EVALUATION,GAME_THEORY,BEHAVIORAL_PSYCHOLOGY,SYSTEMS_COMPLEXITY,TECHNOLOGY_INNOVATION,ENVIRONMENTAL_SUSTAINABILITY,QUALITY_PERFORMANCE,RISK_SAFETY,FORECASTING_PREDICTION,EVALUATION_ASSESSMENT,ABSTRACT,KEYWORDS
Choice on Behalf of the Other: An Experimental Approach,2017,babinChoiceBehalfOther2017,"Babin, J",Electronic Theses and Dissertations,COMPUTER_ASSISTED(0.30),0.015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Climate Change,2017,tomanClimateChange2017,"Toman, Michael A.",,ENVIRONMENTAL_SUSTAINABILITY(0.60),0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Over the years, a large and growing literature on the economics of climate change has developed. Within this volume the contributors have included a wide range of journal essays that consider the impact of climate change on specific sectors; goods and services; the costs and benefits of greenhouse gas (GHG) mitigation; and policy design for mitigation, including both domestic instruments and issues related to international agreements.",Social Science / Sociology / General
"Climate Change Challenges for Land Conservation: Rethinking Conservation Easements, Strategies, and Tools",2017,owleyClimateChangeChallenges2017,"Owley, Jessica and Cheever, Federico and Rissman, Adena R. and Shaw, M. Rebecca and Thompson, Barton H. Jr. and Weeks, W. William",Denver Law Review,ENVIRONMENTAL_SUSTAINABILITY(0.95); EVALUATION_ASSESSMENT(0.30),0.062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
Climate Change Conspiracy Theories,2017,uscinskiClimateChangeConspiracy2017,"Uscinski, Joseph E. and Douglas, Karen and Lewandowsky, Stephan",Oxford Research Encyclopedia of Climate Science,ENVIRONMENTAL_SUSTAINABILITY(0.50),0.025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"""Climate Change Conspiracy Theories"" published on by Oxford University Press.",
Cloud-Based Cyber-Physical Systems in Manufacturing,2017,wangCloudbasedCyberphysicalSystems2017,"Wang, L. and Wang, X.V.",,COMPUTER_ASSISTED(0.80),0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Coastal Tourist Interest in Value-Added, Aquaculture-Based, Culinary Tourism Opportunities",2017,kimCoastalTouristInterest2017,"Kim, Gyunghoon and Duffy, Lauren N. and Jodice, Laura W. and Norman, William C.",Coastal Management,GAME_THEORY(0.35); ENVIRONMENTAL_SUSTAINABILITY(0.35); RISK_SAFETY(0.35),0.052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"Despite increasing focus on sustainable aquaculture investment in the U.S. coastal zones, the aquaculture industry continues to face skepticism among consumers due to perceived negative environmental impacts, and health and food safety concerns. Partnering with culinary tourism and local food promotion efforts has potential for improving public outreach about the benefits of aquaculture, especially in coastal destinations where sustainable marine aquaculture and tourism are both occurring. Culinary tourism implies that local foods reflect the local livelihood and culture, and may be important to the tourist's experience. Aquaculture is becoming increasingly valuable to coastal destinations for assuring the steady availability of local seafood to meet demand and retaining commercial fisheries as a means to differentiate themselves to tourists. This study examined the role of subjective knowledge and attitude about aquaculture, and their effect on intention to participate in value-added culinary aquaculture tourism experiences. The study found that tourists' subjective knowledge and attitude about aquaculture influenced intentions to participate in culinary aquaculture tourism. In order for farmers or tour operators to be successful in diversifying with value-added culinary aquaculture, attention needs to be paid to educating consumers, which may be possible through strategic partnerships with tourism organizations, chefs, and restaurants.",mariculture; marine tourism; seafood
Cognitive Engineering and Health Informatics: Applications and Intersections,2017,hettingerCognitiveEngineeringHealth2017,"Hettinger, A. Zachary and Roth, Emilie M. and Bisantz, Ann M.",Journal of Biomedical Informatics,DECISION_ANALYSIS(0.35); BEHAVIORAL_PSYCHOLOGY(1.00); EVALUATION_ASSESSMENT(0.30),0.083,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Cognitive engineering is an applied field with roots in both cognitive science and engineering that has been used to support design of information displays, decision support, human-automation interaction, and training in numerous high risk domains ranging from nuclear power plant control to transportation and defense systems. Cognitive engineering provides a set of structured, analytic methods for data collection and analysis that intersect with and complement methods of Cognitive Informatics. These methods support discovery of aspects of the work that make performance challenging, as well as the knowledge, skills, and strategies that experts use to meet those challenges. Importantly, cognitive engineering methods provide novel representations that highlight the inherent complexities of the work domain and traceable links between the results of cognitive analyses and actionable design requirements. This article provides an overview of relevant cognitive engineering methods, and illustrates how they have been applied to the design of health information technology (HIT) systems. Additionally, although cognitive engineering methods have been applied in the design of user-centered informatics systems, methods drawn from informatics are not typically incorporated into a cognitive engineering analysis. This article presents a discussion regarding ways in which data-rich methods can inform cognitive engineering.",Review
Cognitive Hack: The New Battleground in Cybersecurity ... the Human Mind,2017,boneCognitiveHackNew2017,"Bone, James",,UNCERTAINTY_ANALYSIS(0.35); COMPUTER_ASSISTED(0.40); BEHAVIORAL_PSYCHOLOGY(0.40); QUALITY_PERFORMANCE(0.35); RISK_SAFETY(1.00); EVALUATION_ASSESSMENT(0.35),0.143,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,"This book explores a broad cross section of research and actual case studies to draw out new insights that may be used to build a benchmark for IT security professionals. This research takes a deeper dive beneath the surface of the analysis to uncover novel ways to mitigate data security vulnerabilities, connect the dots and identify patterns in the data on breaches. This analysis will assist security professionals not only in benchmarking their risk management programs but also in identifying forward looking security measures to narrow the path of future vulnerabilities.",
Collaboration Experience in the Supply Chain of Knowledge and Patent Development,2017,allettoCollaborationExperienceSupply2017,"Alletto, Alessandra and Bruccoleri, Manfredi and Mazzola, Erica and Ramanathan, Usha",Production Planning \& Control,MODELING_SIMULATION(0.35); SYSTEMS_COMPLEXITY(0.75); TECHNOLOGY_INNOVATION(0.40),0.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"In this paper, we aim at understanding the role of collaboration experience in supply chains of knowledge (SCoK). The SCoK of a company is its supply chain not related to the flow of physical goods but to the flow of R\&D commodities. R\&D commodities are for example patents, technologies, research services, studies, and projects, and, in high-tech industries, their development and commercialisation are considered as important as real products. To accomplish our aim in this paper, we fulfil the following research objectives: (1) investigate the relationship between the collaboration experience in SCoK and the propensity of the firm to develop new patents; (2) examine how the structural embeddedness of the firm within its SCoK mediates this relationship. We ground our conceptual model on the supply chain, open innovation and social capital literatures and empirically test our hypotheses on a cross-sectional data-set of 208 biotech companies that have signed 612 SCoK agreements in the years 2006--2010. The key findings of this study are: first, accumulating experience in SCoK collaborations facilitates the development of new patents; second, being central and bridging structural holes within the SCoK are two means by which the experience in SCoK collaborations is translated into new patents.",open innovation; social capital; Supply chain of knowledge
"Collaborative Conceptual Design Methods in the Context of the Swedish Deregulated Railway Market : From the Perspectives of Maintenance, Infrastructure Management, Product Provision, and Research",2017,peterssonCollaborativeConceptualDesign2017,"Petersson, Anna Malou",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DiVA portal is a finding tool for research publications and student theses written at the following 50 universities and research institutions.,linter/error
"Collaborative Conceptual Design Methods in the Context of the Swedish Deregulated Railway Market : From the Perspectives of Maintenance, Infrastructure Management, Product Provision, and Research",2017,peterssonCollaborativeConceptualDesign2017,"Petersson, Anna Malou",,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DiVA portal is a finding tool for research publications and student theses written at the following 50 universities and research institutions.,linter/error
Collaborative Practices with Suppliers in Indian Manufacturing Multinationals,2017,hudnurkarCollaborativePracticesSuppliers2017,"Hudnurkar, Manoj and Rathod, Urvashi",Journal of Global Operations and Strategic Sourcing,BAYESIAN_PROBABILISTIC(0.35); GAME_THEORY(0.30); SYSTEMS_COMPLEXITY(0.45); QUALITY_PERFORMANCE(0.45); EVALUATION_ASSESSMENT(0.80),0.118,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,"Purpose The aim of this research was to study collaborative practices with suppliers in multinational manufacturing companies operating in India and to develop a framework for collaboration with suppliers. Design/methodology/approach This study adopted a four-step mixed-methods approach that included qualitative and quantitative methods. Qualitative technique was used to explore the factors and develop a balanced scorecard-based (BSC -- balanced scorecard) framework using them. Quantitative technique was used to validate the framework statistically and also by using fuzzy analytical hierarchy process using perception-based ranks given by practitioners. Findings The exploratory research resulted in 26 antecedents for collaboration with suppliers in supply chains. Out of these 26, only 19 were considered based on importance given by practitioners. Further, the identified antecedents were classified and mapped based on the perspectives of the BSC. The extended BSC adds business environment and partnership perspectives to existing BSC framework. Some of the important factors identified under these perspectives were transparency of transactions, long-term commitment and trust. The customer perspective was given the utmost importance by the practitioners. Research limitations/implications There are certain issues that may limit the completeness of the work in a global context. The number of organizations (21) and respondents (45) may also be insufficient to convey the complete knowledge embedded in the practice of the field. Originality/value The study provides practical insights about the factors affecting collaboration with suppliers. A BSC-based framework for collaboration with suppliers was also developed along with the associated importance of each perspective and factors under each perspective, which can prove to be of great value to academics and practitioners involved in relationship with suppliers in supply chain.",Supplier or partner selection; Supplier relationship
Communicating Supply Chain Risks and Mitigation Strategies: A Comprehensive Framework,2017,wangCommunicatingSupplyChain2017,"Wang, Xiaojun and Tiwari, Puneet and Chen, Xu",Production Planning \& Control,SYSTEMS_COMPLEXITY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,bin; read CW
Communications Feedback Mechanism: A Public Sphere Perspective of a State House of Assembly,2017,amadiCommunicationsFeedbackMechanism2017,"Amadi, Fred and Appah, Kelvin and Wali, Andy","International Journal of International Relations, Media and Mass Communication Studies",SYSTEMS_COMPLEXITY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
Comparing Paradigms for Strategy Learning of Route Choice with Traffic Information under Uncertainty,2017,maComparingParadigmsStrategy2017,"Ma, Tai-Yu and Di Pace, Roberta",Expert Systems with Applications,STAKEHOLDER_EXPERT(0.30); COMPUTER_ASSISTED(0.30),0.03,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Comparison of Weighting Methods Used during the Construction of Multiple-Criteria Decision Analysis Tool for Repeated Use in Lower Income Countries,2017,molnarComparisonWeightingMethods2017,"Molnar, A. and Nemeth, B. and Inotai, A. and Kal\'o, Z.",Value in Health,DECISION_ANALYSIS(0.40); MULTI_CRITERIA(0.40),0.04,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,linter/error
"Complex Systems: Solutions and Challenges in Economics, Management and Engineering: Dedicated to Professor Jaime Gil Aluja",2017,berger-vachonComplexSystemsSolutions2017,"Berger-Vachon, Christian and Lafuente, Anna Mar\'ia Gil and Kacprzyk, Janusz and Kondratenko, Yuriy and Merig\'o, Jos\'e M. and Morabito, Carlo Francesco",,DECISION_ANALYSIS(0.35); GAME_THEORY(0.30); SYSTEMS_COMPLEXITY(0.40),0.053,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"This book presents an authoritative collection of contributions reporting on fuzzy logic and decision theory, together with applications and case studies in economics and management science. Dedicated to Professor Jaume Gil Aluja in recognition of his pioneering work, the book reports on theories, methods and new challenges, thus offering not only a timely reference guide but also a source of new ideas and inspirations for graduate students and researchers alike.",Mathematics / Game Theory; Technology & Engineering / Engineering (General); Technology & Engineering / General
Computationally Assisted Regulatory Participation,2017,livermoreComputationallyAssistedRegulatory2017,"Livermore, Michael A. and Eidelman, Vladimir and Grom, Brian",Notre Dame Law Review,COMPUTER_ASSISTED(0.40); EVALUATION_ASSESSMENT(0.30),0.035,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Conceptualizing Transparency: Propositions for the Integration of Situational Factors and Stakeholders' Perspectives,2017,leeConceptualizingTransparencyPropositions2017,"Lee, Tae Ho and Boynton, Lois A.",Public Relations Inquiry,EVALUATION_ASSESSMENT(0.80),0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"In communication research on transparency, information has been predominantly regarded as an objective and ascertainable construct -- for example, evaluated by its amount -- resulting in the neglect of highly subjective and intersubjective considerations of situational factors such as crises, organization types, and larger external environments that include laws, regulations, and social norms, in addition to stakeholders' perspectives. In reviewing the relevant literature, we first find that transparency has developed from an instrumental to an intrinsic value, and then locate the current inquiry into transparency in an area of overlap between the two approaches -- implicating objective certainty and subjective value, respectively. Based on this review, we present the significance of integrating the two additional parameters of situational factors and stakeholders' perspectives by focusing more on normative, rather than instrumental, perspectives. For the purpose of creating a comprehensive theoretical framework of transparency, we propose an operational definition of transparency as a process, as well as a research framework.",
Condorcet-Winning Public Information in Oligopolistic Markets,2017,royCondorcetwinningPublicInformation2017,"Roy, Jaideep and Silvers, Randy and Sun, Ching-Jen",,VALUE_INFORMATION(0.45),0.022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"How does majority-appeasing dissemination of public information affect utilitarian welfare and generate conflict in the marketplace? We examine Condorcet preferences for public information of consumers with different valuations for a homogeneous good in oligopolistic markets where identical producers face a common shock to cost of production. We characterize the Condorcet-winning precision of information for consumers and the profit-maximizing precision for producers-in terms of the demand function, number of firms, and the mode of competition (quantity versus price). We report conditions under which majority-appeasement (i) hurts both consumers' surplus and profits or (ii) remains conflict-free.",linter/error
Condorcet-Winning Public Information in Oligopolistic Markets,2017,royCondorcetwinningPublicInformation2017,"Roy, Jaideep and Silvers, Randy and Sun, Ching-Jen",,VALUE_INFORMATION(0.45),0.022,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"How does majority-appeasing dissemination of public information affect utilitarian welfare and generate conflict in the marketplace? We examine Condorcet preferences for public information of consumers with different valuations for a homogeneous good in oligopolistic markets where identical producers face a common shock to cost of production. We characterize the Condorcet-winning precision of information for consumers and the profit-maximizing precision for producers-in terms of the demand function, number of firms, and the mode of competition (quantity versus price). We report conditions under which majority-appeasement (i) hurts both consumers' surplus and profits or (ii) remains conflict-free.",linter/error
"Conservation Decisions: Designing, Financing and Fundraising for Protected Areas",2017,fovargueConservationDecisionsDesigning2017,"Fovargue, Rachel",Doctoral Dissertations,ENVIRONMENTAL_SUSTAINABILITY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
Considering Dynamic Knowledge Updating in Bounded Rationality-Based Route Choice Modeling,2017,jiangConsideringDynamicKnowledge2017,"Jiang, X. and Deng, W.",Advances in Mechanical Engineering,DECISION_ANALYSIS(0.40); BEHAVIORAL_PSYCHOLOGY(0.40),0.04,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Considering the Investment Decisions with Real Options Games Approach,2017,arastehConsideringInvestmentDecisions2017,"Arasteh, Abdollah",Renewable and Sustainable Energy Reviews,EVALUATION_ASSESSMENT(0.30),0.015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Constructive Business Advice? Different Trajectories between Family Businesses and Startups,2017,ljungkvistConstructiveBusinessAdvice2017,"Ljungkvist, Torbj\""orn",Journal of Family Business Management,EVALUATION_ASSESSMENT(0.35),0.017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Purpose The purpose of this paper is to investigate the verbal content and its impact on panel-based business advice meetings (springboards) for family business owners and startup entrepreneurs. Further, the study also investigates how panel-based advising assists entrepreneurship. Design/methodology/approach The investigated springboards concern family business owners who run established firms and startup entrepreneurs who are applying for venture capital. Data from 12 different springboards are collected and studied by content analysis. Findings The outcomes indicate that advising is more constructive for the family business owners than for the startup entrepreneurs. This can mainly be explained by the rational screening that follows the business plan concept and group dynamics which appear in these meetings. Research limitations/implications The study was conducted in Sweden and concerns Swedish family business owners and startup entrepreneurs. It reveals different speech patterns that appear during organized advice-giving and its implications depending on the type of entrepreneur. Practical implications This study provides potential input to change the institutional practice of panel-based business advice, which will likely support entrepreneurs in their business development and network building. Originality/value This study is the first to investigate the verbal content in panel-based business advice for family business owners. Further, it provides a deeper understanding of the institutionalized conditions that this kind of advising builds on.",Speech patterns; Startup entrepreneurs
Consumer Privacy in a Behavioral World,2017,cofoneConsumerPrivacyBehavioral2017,"Cofone, Ignacio N. and Robertson, Adriana Z.",Hastings Law Journal,BEHAVIORAL_PSYCHOLOGY(0.40),0.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Controlling Constructions Risks in Energy Projects,2017,aliControllingConstructionsRisks2017,"Ali, Al and Hassan, Humaid Salim Ali",,NONE,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A risk is a natural phenomenon present in all construction projects. The challenge lies in dealing with such risks. Construction in energy projects is more challenging and demanding, risks present are not only more severe in terms of consequences, but they require tremendous amount of effort and analysis to deal with. The paper provides insight to the energy construction industry, the risks that are associated with it, and how such risks are being identified, classified, mitigated and sometimes avoided. Energy projects can be found in oil and gas, renewable and nuclear energy projects. Examples from the UAE, Europe and China were taken into the study and further emphasis on the risk aspects and nature have been identified and explained. The paper offers a variety of risks associated with the energy industry with a special emphasis on the construction phase. The course of paper involves the identification, management, control and mitigations of risks. Methods used and applied on the management of risks are also discussed, which offers a transient interchange and exchange of experiences between the different sub sectors of the energy construction industry. !",linter/error
Controlling Constructions Risks in Energy Projects,2017,aliControllingConstructionsRisks2017,"Ali, Al and Hassan, Humaid Salim Ali",,NONE,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A risk is a natural phenomenon present in all construction projects. The challenge lies in dealing with such risks. Construction in energy projects is more challenging and demanding, risks present are not only more severe in terms of consequences, but they require tremendous amount of effort and analysis to deal with. The paper provides insight to the energy construction industry, the risks that are associated with it, and how such risks are being identified, classified, mitigated and sometimes avoided. Energy projects can be found in oil and gas, renewable and nuclear energy projects. Examples from the UAE, Europe and China were taken into the study and further emphasis on the risk aspects and nature have been identified and explained. The paper offers a variety of risks associated with the energy industry with a special emphasis on the construction phase. The course of paper involves the identification, management, control and mitigations of risks. Methods used and applied on the management of risks are also discussed, which offers a transient interchange and exchange of experiences between the different sub sectors of the energy construction industry. !",linter/error
Coordination and Responsiveness Issues in SME Supply Chains: A Review,2017,kumarCoordinationResponsivenessIssues2017,"Kumar, Ravinder and Kumar Singh, Rajesh",Benchmarking: An International Journal,SYSTEMS_COMPLEXITY(1.00); QUALITY_PERFORMANCE(0.40); EVALUATION_ASSESSMENT(1.00),0.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"Purpose Globalization and liberalization of the world economy have leveled the field for all competitors across the globe. To face global competition successfully, SMEs have to break their isolation in the value chain. To overcome the dynamic challenges of the market, supply chain management can be an important tool for SMEs. The purpose of this paper is to synthesize different issues related to the coordination and responsiveness of supply chain management in SMEs, through a review of the literature. Design/methodology/approach In all, 116 research papers, mainly from referred international journals, are reviewed to identify the thrust areas of research. On the basis of the review, gaps are identified and a research agenda is proposed. Findings It is observed from the review that SMEs have not been very proactive in implementing supply chain management. These organizations face a lot of problems in coordinating their operations with other members of the supply chain. They are localized in functioning. On export fronts SMEs face many constraints due to lack of resources and poor innovative capabilities. To face the challenges of open global market, SMEs have to manage their problems and supply chain risks effectively. Research gaps are identified in different areas of the supply chain such as coordination and responsiveness issues, service quality issues, and performance benchmarking for future directions of research. Originality/value This paper explores the major areas for research on coordination and responsiveness of SME supply chains. The findings of the paper will be highly useful for the researchers to decide the direction of their research.",linter/error; Responsiveness; Small-to-medium-sized enterprises; Supply chain management
"Corporate Sustainability Reporting and ""Material Information"": An Empirical Study of Materiality under the GRI and Frameworks",2017,jebeCorporateSustainabilityReporting2017,"Jebe, Ruth",Connecticut Journal of International Law,SYSTEMS_COMPLEXITY(0.40); ENVIRONMENTAL_SUSTAINABILITY(0.40),0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Cost Effectiveness of the Angiotensin Receptor Neprilysin Inhibitor Sacubitril/Valsartan for Patients with Chronic Heart Failure and Reduced Ejection Fraction in the Netherlands: A Country Adaptation Analysis under the Former and Current Dutch Pharmacoeconomic Guidelines,2017,ramosCostEffectivenessAngiotensin2017,"Ramos, Isaac Corro and Versteegh, Matthijs M. and de Boer, Rudolf A. and Koenders, Jolanda MA and Linssen, Gerard CM and Meeder, Joan G. and Rutten-van M\""olken, Maureen PMH",Value in Health,NONE,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cost Effectivness of the WINNN Programme: Operations Research and Impact Evaluation,2017,aliCostEffectivnessWINNN2017,"Ali, S. and Vargas, P. and Keen, S.",,POLICY_INTERVENTION(0.55); STAKEHOLDER_EXPERT(0.35); ECONOMIC_EVALUATION(0.90); QUALITY_PERFORMANCE(0.40); EVALUATION_ASSESSMENT(0.50),0.135,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,This report presents the findings of the ORIE economic evaluation on the cost-effectiveness of the WINNN programme. The aim of this report is to evaluate the cost-effectiveness of the WINNN-supported infant and young child feeding (IYCF) interventions and community-based management of acute malnutrition (CMAM) programme over the WINNN programme duration (2011--2017). The cost-effectiveness of the two interventions is evaluated from both a health services and a societal perspective.,linter/error
Cost Effectivness of the WINNN Programme: Operations Research and Impact Evaluation,2017,aliCostEffectivnessWINNN2017,"Ali, S. and Vargas, P. and Keen, S.",,POLICY_INTERVENTION(0.55); STAKEHOLDER_EXPERT(0.35); ECONOMIC_EVALUATION(0.90); QUALITY_PERFORMANCE(0.40); EVALUATION_ASSESSMENT(0.50),0.135,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,This report presents the findings of the ORIE economic evaluation on the cost-effectiveness of the WINNN programme. The aim of this report is to evaluate the cost-effectiveness of the WINNN-supported infant and young child feeding (IYCF) interventions and community-based management of acute malnutrition (CMAM) programme over the WINNN programme duration (2011--2017). The cost-effectiveness of the two interventions is evaluated from both a health services and a societal perspective.,linter/error
Cost and Cost-Effectiveness of Adjuvant Trastuzumab in the Real World Setting: A Study of the Southeast Netherlands Breast Cancer Consortium,2017,seferinaCostCosteffectivenessAdjuvant2017,"Seferina, Shanly C. and Ramaekers, Bram L.T. and de Boer, Maaike and Dercksen, M. Wouter and van den Berkmortel, Franchette and van Kampen, Roel J.W. and van de Wouw, Agn\`es J. and Voogd, Adri C. and Tjan Heijnen, Vivianne C.G. and Joore, Manuela A.",Oncotarget,POLICY_INTERVENTION(0.70); BAYESIAN_PROBABILISTIC(0.35); ECONOMIC_EVALUATION(1.00); FORECASTING_PREDICTION(1.00),0.152,1,20,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Background We assessed the real world costs and cost-effectiveness of the addition of trastuzumab in HER2 positive early breast cancer compared to chemotherapy alone in the Dutch daily practice as opposed to the results based on trial data and based on a subset of patients that were treated according to the guidelines. Patients and Methods In a cohort study, we included all patients with stage I-III invasive breast cancer treated with curative intent in 5 Dutch hospitals between 2005 and 2007 (n=2684).We assessed three scenarios: a real-world scenario, a trial scenario and a guideline scenario, with costs and effectiveness based on either the cohort study, the published trials or the guidelines. Incremental cost-effectiveness ratios (ICERs) and cost-effectiveness acceptability curves (CEACs) were constructed. Results Costs were 243,216 and 239,657 for trastuzumab and no trastuzumab for the real world scenario, 224,443 and 218,948 for the guideline scenario and 253,666 and 265,116 for the trial scenario. The QALYs were 0.827, 0.861, 0.993 for the real world, guideline and trial scenario. The corresponding ICERs were 4,304, 6,382 and dominance, respectively. CEACs showed that the probability that trastuzumab is cost-effective is $$99\% in each scenario. Conclusion Adjuvant trastuzumab in the real world can be considered cost-effective.",
Cost-Effectiveness Analysis of Neonatal Screening of Critical Congenital Heart Defects in China,2017,tobeCosteffectivenessAnalysisNeonatal2017,"Tobe, Ruoyan Gai and Martin, Gerard R. and Li, Fuhai and Moriichi, Akinori and Wu, Bin and Mori, Rintaro",Medicine,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40); EVALUATION_ASSESSMENT(0.40),0.06,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,
Cost-Effectiveness Analysis of Typhoid Conjugate Vaccines in Five Endemic Low-and Middle-Income Settings,2017,antillonCosteffectivenessAnalysisTyphoid2017,"Antill\'on, Marina and Bilcke, Joke and Paltiel, A. David and Pitzer, Virginia E.",Vaccine,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Cost-Effectiveness of Craniotomy for Epidural Hematomas at a Major Government Hospital in Cambodia,2017,moranCosteffectivenessCraniotomyEpidural2017,"Moran, Dane and Shrime, Mark G. and Nang, Sam and Vycheth, Iv and Vuthy, Din and Hong, Raksmey and Padula, William V. and Park, Kee B.",World Journal of Surgery,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Cost-Effectiveness of Different Strategies for the Prevention of Venous Thromboembolism after Total Hip Replacement in China,2017,yanCosteffectivenessDifferentStrategies2017,"Yan, Xiaoyu and Gu, Xiaohua and Xu, Zhenxing and Lin, Houweng and Wu, Bin",Advances in Therapy,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Cost-Effectiveness of Precision Medicine in the Fourth-Line Treatment of Metastatic Lung Adenocarcinoma: An Early Decision Analytic Model of Multiplex Targeted Sequencing,2017,dobleCosteffectivenessPrecisionMedicine2017,"Doble, Brett and John, Thomas and Thomas, David and Fellowes, Andrew and Fox, Stephen and Lorgelly, Paula","Lung Cancer (amsterdam, Netherlands)",POLICY_INTERVENTION(0.40); VALUE_INFORMATION(0.40); ECONOMIC_EVALUATION(0.40),0.06,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,
Cost-Effectiveness of Superficial Femoral Artery Endovascular Interventions in the UK and Germany: A Modelling Study,2017,kearnsCosteffectivenessSuperficialFemoral2017,"Kearns, Benjamin C. and Thomas, Steven M.",BMJ Open,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
Cost-Effectiveness of a Potential Group B Streptococcal Vaccine for Pregnant Women in the United States,2017,kimCosteffectivenessPotentialGroup2017,"Kim, Sun-Young and Nguyen, Chi and Russell, Louise B. and Tomczyk, Sara and Abdul-Hakeem, Fatimah and Schrag, Stephanie J. and Verani, Jennifer R. and Sinha, Anushua",Vaccine,POLICY_INTERVENTION(0.40); ECONOMIC_EVALUATION(0.40),0.04,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
